2008-07-03T04:51:20 2008-07-03T04:52:20
2008-07-03T09:27:20 2008-07-03T09:28:20
2008-07-03T11:56:20 2008-07-03T11:57:20
2008-07-03T16:24:00 2008-07-03T16:25:00
2008-07-03T18:33:20 2008-07-03T18:34:20
2008-07-04T01:23:20 2008-07-04T01:24:20
2008-07-04T05:54:00 2008-07-04T05:55:00
2008-07-04T08:12:20 2008-07-04T08:13:20
2008-07-04T12:40:00 2008-07-04T12:41:00
2008-07-04T13:25:00 2008-07-04T13:26:00
2008-07-04T14:33:40 2008-07-04T14:34:40
2008-07-04T15:05:40 2008-07-04T15:06:40
2008-07-04T19:27:00 2008-07-04T19:28:00
2008-07-04T20:57:00 2008-07-04T20:58:00
2008-07-04T21:58:20 2008-07-04T21:59:20
